AGP
Aeropuerto de Málaga-Costa del Sol
29067
BCN
Aeropuerto Josep Tarradellas Barcelona-El Prat
08019
BIO
Aeropuerto de Bilbao
48020
GRX
Aeropuerto Federico García Lorca Granada-Jaén
18059
MAD
Aeropuerto Adolfo Suárez Madrid-Barajas
28079
TFN
Aeropuerto de Tenerife Norte-Ciudad de La Laguna
38023
TFS
Aeropuerto de Tenerife Sur
38017
ZAZ
Aeropuerto de Zaragoza
50297



